Date,Time,Activity,ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,MAG_X,MAG_Y,MAG_Z,Heading_Deg,Heading_Dir
22/11/2025,17:06:01,bed to toilet,0.0000,0.0000,0.0000,-1.7319,-7.0473,-9.0069,0.9955,1.0137,1.0154,115.9250,ESE
22/11/2025,17:06:02,bed to toilet,0.0000,0.0000,0.0000,-4.8157,1.7400,-8.2872,0.9871,1.0379,1.0012,116.4081,ESE
22/11/2025,17:06:03,bed to toilet,0.0000,0.0000,0.0000,-1.8074,17.5983,-1.0107,0.9994,0.9827,1.0122,115.0053,ESE
22/11/2025,17:06:04,bed to toilet,0.2497,0.0892,0.0000,-4.2372,-17.8082,-3.8009,0.9867,1.0190,0.9612,113.9775,ESE
22/11/2025,17:06:05,bed to toilet,0.3145,0.3314,0.0000,-11.4442,8.0575,-19.4528,0.9721,0.9796,0.9339,116.0000,ESE
22/11/2025,17:06:06,bed to toilet,0.3190,0.3623,0.0000,-3.9056,6.0017,-30.0944,1.0500,1.0657,0.9108,108.2200,ESE
22/11/2025,17:06:07,bed to toilet,-0.1993,0.0045,0.0000,2.5347,9.2300,-0.0329,1.0014,0.9670,0.9433,112.1800,ESE
22/11/2025,17:06:08,bed to toilet,-0.0844,0.0000,0.0000,-11.6139,6.2810,-4.7438,0.9712,0.9335,0.9598,112.9614,ESE
22/11/2025,17:06:09,bed to toilet,0.0000,0.1969,0.0000,-10.2005,-28.1039,-26.2961,0.9919,0.8780,0.9697,113.5857,ESE
22/11/2025,17:06:10,bed to toilet,0.0000,0.0841,0.0000,5.9937,3.7456,14.1876,0.9814,0.8908,0.9542,116.1756,ESE
22/11/2025,17:06:11,bed to toilet,0.0000,0.0000,0.0000,-6.1425,4.2871,-9.5061,1.0279,0.9112,0.9507,112.3051,ESE
22/11/2025,17:06:12,bed to toilet,0.0000,0.0000,0.0000,-2.9135,-3.3114,-10.3012,1.0204,0.9407,0.9416,115.0050,ESE
