Date,Time,Activity,ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,MAG_X,MAG_Y,MAG_Z,Heading_Deg,Heading_Dir
22/11/2025,16:29:10,bed to toilet,0.0000,0.0000,0.0000,1.7673,6.1266,-3.5054,1.0013,0.9928,1.0350,114.3250,ESE
22/11/2025,16:29:11,bed to toilet,0.0000,0.0000,0.0000,0.7222,5.0555,-2.7000,0.9924,0.9958,1.0245,114.7677,ESE
22/11/2025,16:29:12,bed to toilet,0.0000,0.0000,0.0000,-0.4924,7.2425,-4.7270,0.9987,0.9301,1.0332,111.1850,ESE
22/11/2025,16:29:13,bed to toilet,0.0000,-0.1372,0.0000,4.8685,12.3218,4.8728,0.9881,0.9719,0.9728,114.8545,ESE
22/11/2025,16:29:14,bed to toilet,0.0000,0.2511,0.0000,1.5792,5.6804,0.0402,1.0037,0.9602,0.9651,112.1410,ESE
22/11/2025,16:29:15,bed to toilet,0.2316,0.3402,0.0000,-13.9406,2.8428,-26.4302,0.9866,0.8989,0.9767,112.0500,ESE
22/11/2025,16:29:16,bed to toilet,0.3104,0.3339,0.0000,13.2153,-0.3151,11.1942,0.9891,0.8761,0.9728,116.0447,ESE
22/11/2025,16:29:17,bed to toilet,0.2151,0.2094,0.0000,1.6489,8.2216,-6.5746,1.0337,0.8953,0.9702,107.5591,ESE
