Date,Time,Activity,ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,MAG_X,MAG_Y,MAG_Z,Heading_Deg,Heading_Dir
22/11/2025,16:25:09,bed to toilet,0.0000,0.0000,0.0000,0.2724,5.9236,-2.3329,0.9774,0.9127,0.9529,113.8419,ESE
22/11/2025,16:25:10,bed to toilet,0.0000,0.0000,0.0000,1.2125,3.6339,-2.0547,0.9771,0.9082,0.9491,113.3842,ESE
22/11/2025,16:25:11,bed to toilet,0.0000,0.0000,0.0000,5.3256,4.3990,6.1165,0.9631,0.8882,0.9600,112.3906,ESE
22/11/2025,16:25:12,bed to toilet,0.0000,0.0800,0.0000,-0.9392,16.3032,8.1884,0.9853,0.8130,0.9595,114.3324,ESE
22/11/2025,16:25:13,bed to toilet,0.0000,0.2450,0.0000,-9.6975,1.7001,-4.2363,0.9954,0.8465,0.8914,110.0919,ESE
22/11/2025,16:25:14,bed to toilet,0.0000,0.2786,0.0000,-4.1344,-4.8810,-5.5940,0.9881,0.8274,0.9229,111.7730,ESE
22/11/2025,16:25:15,bed to toilet,0.1895,0.3468,0.0000,-5.6088,-5.7425,0.3344,0.9527,0.8017,0.9122,116.4133,ESE
22/11/2025,16:25:16,bed to toilet,0.2584,0.3283,0.0000,-13.9794,8.5452,2.9008,0.9728,0.8120,0.9075,115.0436,ESE
22/11/2025,16:25:17,bed to toilet,0.1550,0.2250,0.0000,-22.2470,7.3662,-28.5646,0.9895,0.8372,0.9016,112.8200,ESE
22/11/2025,16:25:18,bed to toilet,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
22/11/2025,16:25:19,bed to toilet,0.0000,0.0000,0.0000,-14.3408,7.7660,-1.3774,0.8321,0.8111,0.9075,112.0762,ESE
