Date,Time,Activity,ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,MAG_X,MAG_Y,MAG_Z,Heading_Deg,Heading_Dir
22/11/2025,16:27:45,bed to toilet,0.0000,0.0000,0.0000,1.4697,4.6523,-0.9194,1.0156,1.0290,1.0084,114.6500,ESE
22/11/2025,16:27:46,bed to toilet,0.0000,0.0000,0.0000,0.0232,7.1632,1.9969,1.0104,1.0299,1.0048,114.6031,ESE
22/11/2025,16:27:47,bed to toilet,0.0000,0.0000,0.0000,0.2047,8.7378,3.1165,1.0204,1.0266,1.0169,115.6875,ESE
22/11/2025,16:27:48,bed to toilet,0.0000,0.0000,0.0000,-5.1758,26.9301,-0.5835,1.0116,0.9864,1.0070,115.1353,ESE
22/11/2025,16:27:49,bed to toilet,0.0000,0.0000,0.0000,-1.8100,-3.5695,0.8667,1.0035,0.9420,0.9967,111.3056,ESE
22/11/2025,16:27:50,bed to toilet,0.0000,0.0000,0.0000,-0.8062,12.5545,4.7701,1.0014,0.9599,0.9513,112.9528,ESE
22/11/2025,16:27:51,bed to toilet,0.0000,0.2616,0.0000,-5.9549,-0.0527,-6.0852,1.0114,0.9229,0.9500,112.1366,ESE
22/11/2025,16:27:52,bed to toilet,0.0000,0.3092,0.0000,0.3084,3.1802,-0.0138,0.9948,0.8542,0.9611,113.8765,ESE
22/11/2025,16:27:53,bed to toilet,0.0000,0.0317,0.0000,3.2072,5.2884,4.9227,1.0166,0.8908,0.9539,110.6590,ESE
22/11/2025,16:27:54,bed to toilet,0.0000,0.0000,0.0000,0.5971,4.1057,2.0178,1.0042,0.8957,0.9593,111.2950,ESE
