Date,Time,Activity,ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,MAG_X,MAG_Y,MAG_Z,Heading_Deg,Heading_Dir
24/11/2025,19:27:54,bed to toilet,0.0000,0.0000,0.0000,-8.1597,1.2691,0.1278,1.0202,0.9724,0.9805,116.0321,ESE
24/11/2025,19:27:55,bed to toilet,0.0000,0.0000,0.0000,-7.2233,4.9538,0.4182,1.0118,0.9776,0.9830,117.3559,ESE
24/11/2025,19:27:56,bed to toilet,-0.1988,0.0000,0.0000,-12.7104,6.0685,-0.8563,0.9974,0.9502,0.9790,113.4471,ESE
24/11/2025,19:27:57,bed to toilet,-0.2600,0.3224,0.2988,-22.2159,7.1966,-1.5194,1.0079,0.8930,0.9556,114.3585,ESE
24/11/2025,19:27:58,bed to toilet,-0.2600,0.3689,0.2582,-17.3515,-10.4848,11.3180,1.0091,0.8605,0.9561,116.2744,ESE
24/11/2025,19:27:59,bed to toilet,-0.2600,0.3359,0.2582,4.4220,-0.7010,12.5870,1.0203,0.8254,0.9575,113.2756,ESE
24/11/2025,19:28:00,bed to toilet,-0.1170,0.1822,0.1226,-2.1116,-8.0857,1.0846,1.0011,0.8813,0.9367,114.5625,ESE
24/11/2025,19:28:01,bed to toilet,0.0000,0.0000,0.0000,-7.6093,0.5514,4.3850,0.9889,0.9200,0.9394,115.9000,ESE
