Date,Time,Activity,ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,MAG_X,MAG_Y,MAG_Z,Heading_Deg,Heading_Dir
24/11/2025,19:30:31,bed to toilet,0.0000,0.0000,0.0000,-0.5613,-1.3102,-0.2479,0.9875,1.0274,0.9746,115.3200,ESE
24/11/2025,19:30:32,bed to toilet,0.0000,0.0000,0.0000,0.5015,2.0729,-2.0412,0.9848,1.0108,0.9743,113.7970,ESE
24/11/2025,19:30:33,bed to toilet,-0.0867,0.0000,0.0000,2.8189,1.9713,23.9559,0.9683,0.9257,1.0016,116.6237,ESE
24/11/2025,19:30:34,bed to toilet,-0.2616,0.0471,0.1553,-5.6866,2.8446,1.0765,0.9984,0.9529,0.9398,115.2706,ESE
24/11/2025,19:30:35,bed to toilet,-0.1153,0.4146,0.2514,-16.4847,19.1632,-5.7726,0.9940,0.9288,0.9526,113.1083,ESE
24/11/2025,19:30:36,bed to toilet,0.2538,0.4011,0.2514,-7.2308,-26.3538,-0.6348,0.9869,0.8720,0.9613,110.2759,ESE
24/11/2025,19:30:37,bed to toilet,0.0409,0.0000,0.0081,-0.2589,1.1090,-5.3781,0.9948,0.8427,0.9633,115.6226,ESE
24/11/2025,19:30:38,bed to toilet,0.0000,0.0000,0.0000,16.2489,-57.2457,16.2192,0.9860,0.9021,0.9516,114.1500,ESE
