Date,Time,Activity,ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,MAG_X,MAG_Y,MAG_Z,Heading_Deg,Heading_Dir
24/11/2025,19:41:45,bed to toilet,0.0000,0.0000,0.0000,-5.4259,-11.8196,-2.7458,1.0111,1.0225,0.9697,115.7500,ESE
24/11/2025,19:41:46,bed to toilet,0.0000,0.0000,0.0000,-5.4001,-11.7492,-2.3817,1.0111,1.0192,0.9739,115.1344,ESE
24/11/2025,19:41:47,bed to toilet,0.0000,0.0000,0.0000,-5.6343,-12.5079,-2.0989,1.0048,1.0225,0.9809,115.5086,ESE
24/11/2025,19:41:48,bed to toilet,0.0000,0.0000,0.0000,-1.9490,2.7503,5.0283,1.0010,0.9947,0.9738,111.0061,ESE
24/11/2025,19:41:49,bed to toilet,0.0000,0.0000,0.0000,-15.0459,0.3920,-1.4509,0.9902,0.9340,0.9619,117.0093,ESE
24/11/2025,19:41:50,bed to toilet,0.0317,0.0000,0.0000,-3.1543,-9.6879,8.0487,1.0060,0.8579,0.9619,111.3543,ESE
24/11/2025,19:41:51,bed to toilet,0.2424,0.0000,0.0000,-8.2595,-13.8184,-2.3412,1.0119,0.8347,0.9269,114.0750,ESE
24/11/2025,19:41:52,bed to toilet,0.0000,0.0000,0.0000,-18.0761,0.0777,-9.6313,1.0556,0.9055,0.9256,108.5545,ESE
24/11/2025,19:41:53,bed to toilet,0.0000,0.0000,0.0000,-6.7105,-18.2515,-3.0803,1.0041,0.8613,0.9439,117.0930,ESE
24/11/2025,19:41:54,bed to toilet,0.1593,0.0000,0.0000,-3.2253,-6.0666,9.7748,0.9988,0.8760,0.9278,118.7298,ESE
24/11/2025,19:41:55,bed to toilet,0.0981,0.0000,0.0000,-6.0038,-15.3382,0.6414,1.0036,0.8427,0.9515,110.6000,ESE
24/11/2025,19:41:56,bed to toilet,0.0000,0.0000,0.0000,-3.1243,-19.4066,-5.6349,1.0120,0.8815,0.9318,114.0500,ESE
24/11/2025,19:41:57,bed to toilet,0.0000,0.0000,0.0000,-5.2430,-12.8812,2.8819,0.9842,0.9006,0.9316,112.0303,ESE
