Date,Time,Activity,ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,MAG_X,MAG_Y,MAG_Z,Heading_Deg,Heading_Dir
24/11/2025,19:36:25,bed to toilet,-0.0695,0.0318,0.0537,10.4970,-9.7985,-3.8276,0.9872,1.0132,0.9793,113.5250,ESE
24/11/2025,19:36:26,bed to toilet,0.0000,0.0000,0.0000,10.7281,-7.3601,-2.5150,0.9811,1.0023,0.9767,113.2359,ESE
24/11/2025,19:36:27,bed to toilet,0.0000,0.0000,0.0000,14.0388,-12.6847,2.7633,0.9851,0.9860,0.9814,112.7290,ESE
24/11/2025,19:36:28,bed to toilet,0.0000,0.0000,0.0000,5.7584,12.9244,-6.1844,0.9563,0.9816,0.9771,114.5351,ESE
24/11/2025,19:36:29,bed to toilet,-0.2230,0.2275,0.0000,13.6170,-29.7005,-1.9070,0.9946,0.8932,0.9281,109.5231,ESE
24/11/2025,19:36:30,bed to toilet,-0.2805,0.3439,0.0000,5.1823,-9.4496,1.3588,1.0053,0.9275,0.9095,114.5114,ESE
24/11/2025,19:36:31,bed to toilet,-0.2123,0.2559,0.0000,8.7095,2.9230,0.1772,0.9842,0.9117,0.9181,111.3568,ESE
24/11/2025,19:36:32,bed to toilet,0.0000,0.1960,0.0000,12.5470,-16.9471,-5.8388,1.0015,0.8554,0.9095,110.7250,ESE
24/11/2025,19:36:33,bed to toilet,0.1788,0.0861,0.0000,11.4531,7.9059,2.4558,0.9922,0.8377,0.9287,114.9317,ESE
24/11/2025,19:36:34,bed to toilet,0.1979,0.0000,0.0000,12.8917,-21.2831,-2.9179,0.9882,0.8294,0.9402,108.3205,ESE
24/11/2025,19:36:35,bed to toilet,0.0000,0.0000,0.0000,12.5868,-17.2712,0.3585,0.9823,0.8829,0.9257,112.3548,ESE
24/11/2025,19:36:36,bed to toilet,0.0000,0.0000,0.0000,13.5322,-6.8762,-5.1556,0.9756,0.8860,0.9377,110.6556,ESE
