Date,Time,Activity,ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,MAG_X,MAG_Y,MAG_Z,Heading_Deg,Heading_Dir
24/11/2025,19:58:29,bed to toilet,0.0000,0.0000,0.0000,21.7731,-0.1583,0.7622,0.9860,1.0402,0.9857,114.6759,ESE
24/11/2025,19:58:30,bed to toilet,0.0000,0.0000,0.0000,12.6400,0.4657,-0.1738,0.9808,1.0356,1.0154,115.4029,ESE
24/11/2025,19:58:31,bed to toilet,0.0703,0.0000,0.0000,0.7641,1.0988,1.6265,0.9798,1.0331,0.9983,117.2000,ESE
24/11/2025,19:58:32,bed to toilet,0.2956,0.0000,0.0000,15.2875,0.0394,0.8155,0.9947,0.9083,1.0005,113.6697,ESE
24/11/2025,19:58:33,bed to toilet,0.0000,0.0000,0.0000,1.0296,-3.2711,1.3415,0.9746,0.9353,0.9718,113.9944,ESE
24/11/2025,19:58:34,bed to toilet,0.0000,0.0000,0.0000,11.1328,-7.3905,-0.1677,0.9912,0.9460,0.9310,112.7943,ESE
24/11/2025,19:58:35,bed to toilet,0.0000,0.2179,0.0000,2.6325,8.0696,0.4730,1.0143,0.9645,0.9451,115.4432,ESE
24/11/2025,19:58:36,bed to toilet,0.0000,0.0495,0.0000,12.4532,-11.6290,0.3248,0.9766,0.9268,0.9518,111.7368,ESE
24/11/2025,19:58:37,bed to toilet,0.0000,-0.2132,0.0000,3.9644,19.7520,1.1787,0.9910,0.8962,0.9445,116.9316,ESE
24/11/2025,19:58:38,bed to toilet,0.0000,-0.0344,0.0000,6.6532,-2.2958,-3.5767,0.9800,0.8918,0.9554,110.9564,ESE
24/11/2025,19:58:39,bed to toilet,0.0000,-0.0735,0.0000,-20.8067,42.3856,14.4375,0.9810,0.8169,1.0028,108.9364,ESE
24/11/2025,19:58:40,bed to toilet,0.0000,-0.2695,0.0000,8.8252,-17.9262,-10.5529,1.0104,0.8418,0.9764,115.3367,ESE
24/11/2025,19:58:41,bed to toilet,0.0000,0.0000,0.0000,7.4157,5.0369,1.0951,0.9798,0.9583,0.9538,111.4068,ESE
24/11/2025,19:58:42,bed to toilet,0.0000,0.0000,0.0000,10.0605,-23.4516,10.3361,0.9694,0.9323,0.9547,112.1944,ESE
