Date,Time,Activity,ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,MAG_X,MAG_Y,MAG_Z,Heading_Deg,Heading_Dir
24/11/2025,19:25:58,bed to toilet,0.0000,0.0000,0.0000,-0.2267,-1.9481,-0.9746,0.9869,1.0193,1.0312,117.8375,ESE
24/11/2025,19:25:59,bed to toilet,0.0000,0.0000,0.0000,1.0838,-1.2495,0.5259,0.9824,1.0303,1.0267,117.6026,ESE
24/11/2025,19:26:00,bed to toilet,0.0000,0.0000,0.0000,-5.2767,20.2694,-2.6053,0.9762,1.0148,1.0263,118.6132,ESE
24/11/2025,19:26:01,bed to toilet,-0.2350,0.3706,0.0733,-12.1164,-12.0284,4.4341,0.9871,0.9572,0.9898,117.6325,ESE
24/11/2025,19:26:02,bed to toilet,-0.3032,0.3846,0.3184,2.8621,11.4684,12.0622,1.0019,0.9463,0.9696,115.9769,ESE
24/11/2025,19:26:03,bed to toilet,-0.2759,0.5035,0.2640,-14.3817,-12.8729,-1.5030,0.9960,0.8705,0.9922,113.7700,ESE
24/11/2025,19:26:04,bed to toilet,-0.2655,0.5860,0.3343,8.2805,-11.0663,4.8145,0.9938,0.8740,0.9755,117.0714,ESE
24/11/2025,19:26:05,bed to toilet,-0.0425,0.1172,0.0669,3.9876,-3.5933,4.1283,0.9677,0.9315,0.9675,114.9840,ESE
