Date,Time,Activity,ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,MAG_X,MAG_Y,MAG_Z,Heading_Deg,Heading_Dir
24/11/2025,19:27:02,bed to toilet,0.0000,0.0000,0.0000,-0.2854,2.0793,-1.0228,0.9890,1.0132,0.9848,118.1353,ESE
24/11/2025,19:27:03,bed to toilet,0.0000,0.0000,0.0000,0.7188,0.0429,-0.6318,1.0021,1.0165,0.9815,118.1188,ESE
24/11/2025,19:27:04,bed to toilet,-0.0353,0.0000,0.0000,2.8749,10.3902,-1.5897,0.9857,1.0053,0.9863,117.9275,ESE
24/11/2025,19:27:05,bed to toilet,0.1064,0.0337,0.0000,-0.8230,26.0986,7.6630,0.9709,0.9005,0.9768,115.0147,ESE
24/11/2025,19:27:06,bed to toilet,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
24/11/2025,19:27:07,bed to toilet,0.3319,0.1612,0.0000,-10.0035,-11.5463,-4.6529,1.0180,0.8811,0.9514,113.3779,ESE
24/11/2025,19:27:08,bed to toilet,0.2865,0.2579,0.3485,13.0849,-7.6726,4.9838,0.9933,0.8565,0.9525,116.5216,ESE
24/11/2025,19:27:09,bed to toilet,0.1910,0.1777,0.2591,-1.8839,-2.5880,0.2330,0.9686,0.9226,0.9383,115.4119,ESE
24/11/2025,19:27:10,bed to toilet,0.0000,0.0000,0.0000,1.1759,-0.1135,-2.8986,0.9670,0.9386,0.9461,117.4667,ESE
